States,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,38687,38957,38591,39020,39211,39599,40599,41389
Alaska,78952,74281,72354,72948,71091,71282,72221,74422
Arizona,40929,40729,40663,41031,41669,42505,43546,44161
Arkansas,36836,37771,38058,38233,38309,38432,38971,39580
California,56510,58046,59915,62403,63853,66331,68970,70662
Colorado,52674,53622,55270,56724,57184,58728,59930,61311
Connecticut,67825,67063,66152,67717,67855,68195,68577,69789
Delaware,67720,64052,68097,69988,66506,65571,65009,64985
District of Columbia,177559,173196,173495,173584,174343,174140,176726,178442
Florida,39865,40116,40577,41522,42047,42746,43535,44267
Georgia,44855,45202,46253,47313,48367,49623,50327,50816
Hawaii,52755,52745,52688,54277,55273,56667,58181,58981
Idaho,36209,37134,37640,38216,38954,39482,40274,40566
Illinois,55944,56193,57048,57899,58279,58976,60504,61713
Indiana,45513,46268,47582,47152,47727,48474,49182,49321
Iowa,51119,50642,53094,54270,53931,53615,54650,55051
Kansas,48688,48564,49449,50248,51507,52073,53096,53528
Kentucky,40193,40727,40774,40968,41147,41449,41966,42386
Louisiana,50777,49003,50318,49834,48791,49539,50942,51729
Maine,39823,39537,40148,40489,41291,42102,42904,43541
Maryland,56875,56547,56860,57677,59437,59767,61112,61926
Massachusetts,66686,66266,67117,69343,70192,71553,73529,75258
Michigan,42321,42804,43456,44552,45452,46037,47128,47448
Minnesota,54736,55534,56730,57111,57785,58446,59562,60066
Mississippi,33385,33333,33479,33543,33688,33969,34497,35015
Missouri,44612,45012,45106,45572,45259,45555,46544,47407
Montana,41847,41866,42250,43544,42528,42784,43576,44145
Nebraska,55182,56312,57024,58334,58150,59036,59290,59386
Nevada,46663,46208,46138,47238,47744,48397,49476,50043
New Hampshire,51116,51861,52158,53512,54247,54952,56029,57272
New Jersey,58762,59087,59307,60363,60867,61170,62543,63492
New Mexico,41969,41345,42724,43652,43635,43668,44728,46304
New York,67565,67227,68661,69814,70781,72434,73508,75131
North Carolina,45087,45245,45812,46800,46809,47282,47905,48496
North Dakota,73227,72754,76652,72807,67648,67574,69746,70991
Ohio,46829,47578,49291,49960,50290,50972,51848,52664
Oklahoma,45429,46092,48409,50109,48419,48723,49876,50876
Oregon,44753,44820,45887,47811,49132,50349,51786,52726
Pennsylvania,50232,50979,52117,53285,53969,54246,55607,56868
Rhode Island,48967,49365,49372,50278,50239,50195,50671,51963
South Carolina,37177,37560,38055,38819,39423,40204,40755,41457
South Dakota,52119,51765,51998,53212,52938,52263,52908,52913
Tennessee,43961,44162,44592,45756,46348,46780,47799,48440
Texas,54108,55592,56484,58113,57327,58182,59827,61682
Utah,45112,45520,46335,47522,48462,49380,50356,51407
Vermont,46139,45510,45619,46234,47082,47100,47649,48855
Virginia,54361,54113,53648,54408,54301,54917,56110,56938
Washington,58121,59038,60352,62024,63025,65169,68007,69761
West Virginia,37374,37844,37780,37871,37630,38472,39617,40265
Wisconsin,47963,48144,49044,49847,50367,50889,51938,52534
Wyoming,66686,66144,66464,67831,65135,65633,65859,67915
New England,60947,60627,60894,62558,63159,64014,65250,66650
Mideast,61557,61546,62606,63731,64567,65394,66613,67882
Great Lakes,48346,48829,49917,50584,51097,51740,52823,53503
Plains,50979,51310,52364,52936,52947,53292,54297,54856
Southeast,42941,43067,43465,44189,44496,45148,45975,46640
Southwest,50350,51368,52285,53690,53133,53907,55378,56926
Rocky Mountain,48162,48816,49910,51168,51513,52569,53565,54646
Far West,55567,56689,58221,60433,61700,63874,66300,67849